Reference period,Date_Quarterly,Dollars,GDP_Growth_Rate
Q1 2017,3/31/2017,"2,120,843",
Q2 2017,6/30/2017,"2,143,166",1.05%
Q3 2017,9/30/2017,"2,143,839",0.03%
Q4 2017,12/31/2017,"2,154,716",0.51%
Q1 2018,3/31/2018,"2,179,765",1.16%
Q2 2018,6/30/2018,"2,196,768",0.78%
Q3 2018,9/30/2018,"2,207,849",0.50%
Q4 2018,12/31/2018,"2,213,050",0.24%
Q1 2019,3/31/2019,"2,218,376",0.24%
Q2 2019,6/30/2019,"2,242,662",1.09%
Q3 2019,9/30/2019,"2,248,933",0.28%
Q4 2019,12/31/2019,"2,255,354",0.29%
Q1 2020,3/31/2020,"2,211,376",-1.95%
Q2 2020,6/30/2020,"1,968,126",-11.00%
Q3 2020,9/30/2020,"2,146,901",9.08%
Q4 2020,12/31/2020,"2,187,228",1.88%
Q1 2021,3/31/2021,"2,224,489",1.70%
Q2 2021,6/30/2021,"2,221,882",-0.12%
Q3 2021,9/30/2021,"2,266,642",2.01%
Q4 2021,12/31/2021,"2,307,224",1.79%
Q1 2022,3/31/2022,"2,331,146",1.04%
Q2 2022,6/30/2022,"2,357,666",1.14%
Q3 2022,9/30/2022,"2,376,734",0.81%
Q4 2022,12/31/2022,"2,378,229",0.06%
Q1 2023,3/31/2023,"2,403,264",1.05%
Q2 2023,6/30/2023,"2,407,099",0.16%
Q3 2023,9/30/2023,"2,408,306",0.05%
Q4 2023,12/31/2023,"2,409,551",0.05%
Q1 2024,3/31/2024,"2,427,108",0.73%
Q2 2024,6/30/2024,"2,446,913",0.82%
Q3 2024,9/30/2024,"2,466,957",0.82%
Q4 2024,12/31/2024,"2,484,261",0.70%
Q1 2025,3/31/2025,"2,497,674",0.54%
Q2 2025,6/30/2025,"2,486,045",-0.47%
Q3 2025,9/30/2025,"2,502,070",0.64%
