Date,GDP_Spread,Gold_USD,Inflation_Spread,Oil_USD,Policy_Spread,Trade_Balance,USD_CAD_FX
1/31/2018,0.0124,1347.9,0.0045,63.699,0.29,3427.4,1.2427
2/28/2018,0.0124,1305.2,0.001,62.229,0.17,3231.3,1.2586
3/31/2018,0.0029,1327.3,0.0002,62.725,0.26,2318.2,1.2932
4/30/2018,0.0029,1306.8,0.0025,66.254,0.44,4257.8,1.2733
5/31/2018,0.0029,1299.3,0.0056,69.978,0.45,3658.2,1.2873
6/30/2018,0.0046,1254.5,0.0035,67.873,0.57,4737.7,1.3129
7/31/2018,0.0046,1227.6,-0.0014,70.981,0.49,5672.1,1.313
8/31/2018,0.0046,1206.7,-0.0019,68.056,0.41,5260.6,1.3041
9/30/2018,0.0056,1196.2,0.0011,70.232,0.45,4563.1,1.3037
10/31/2018,0.0056,1238.6,0.0005,70.749,0.625,3887.4,1.301
11/30/2018,0.0056,1226,0.0047,56.964,0.45,1105.9,1.32
12/31/2018,0.0033,1283,0.0001,49.523,0.52,616.3,1.3432
1/31/2019,0.0033,1322.1,0.0004,51.376,0.65,2240.5,1.3301
2/28/2019,0.0033,1299.2,0.0001,54.955,0.65,3702.8,1.3206
3/31/2019,0.0069,1298.5,0,58.151,0.66,4667.4,1.3368
4/30/2019,0.0069,1284.2,-0.0002,63.862,0.67,4799.6,1.3378
5/31/2019,0.0069,1311.1,-0.006,60.827,0.64,5194.3,1.3459
6/30/2019,0.0027,1413.7,-0.0035,54.658,0.63,4768,1.3287
7/31/2019,0.0027,1432.4,-0.0018,57.358,0.65,4439.9,1.3101
8/31/2019,0.0027,1529.4,-0.002,54.806,0.38,4623.4,1.3277
9/30/2019,0.0121,1489,-0.0019,56.947,0.29,4739.8,1.3241
10/31/2019,0.0121,1511.4,-0.0013,53.963,0.08,4747.3,1.319
11/30/2019,0.0121,1472.7,-0.0008,57.049,-0.2,4229.6,1.3239
12/31/2019,0.007,1523.1,0.0007,59.817,-0.2,5290.4,1.3172
1/31/2020,0.007,1552.4,0.002,57.519,-0.2,2726.1,1.3087
2/29/2020,0.007,1566.7,0.0019,50.543,-0.17,2597.7,1.3286
3/31/2020,0.0112,1596.6,0.0061,29.208,-0.305,818.3,1.3953
4/30/2020,0.0112,1694.2,0.0053,16.548,-0.2,296.4,1.4058
5/31/2020,0.0112,1751.7,0.0056,28.563,-0.2,1244.6,1.397
6/30/2020,0.0276,1800.5,0.0006,38.307,-0.17,2195.8,1.355
7/31/2020,0.0276,1985.9,0.0085,40.71,-0.16,1842.8,1.3499
8/31/2020,0.0276,1978.6,0.0113,42.339,-0.15,2832.9,1.3222
9/30/2020,-0.0033,1895.5,0.0088,39.634,-0.16,1776.6,1.3228
10/31/2020,-0.0033,1879.9,0.0057,39.396,-0.16,2841.8,1.3215
11/30/2020,-0.0033,1780.9,0.0022,40.937,-0.16,2720,1.3068
12/31/2020,-0.0012,1895.1,0.0059,47.025,-0.16,2600.7,1.2808
1/31/2021,-0.0012,1850.3,0.0033,52.008,-0.16,5749.3,1.2724
2/28/2021,-0.0012,1728.8,0.0058,59.046,-0.17,6807.2,1.2699
3/31/2021,0.0099,1715.6,0.0043,62.333,-0.18,4025,1.2574
4/30/2021,0.0099,1767.7,0.0075,61.717,-0.18,5563.4,1.2496
5/31/2021,0.0099,1905.3,0.0133,65.17,-0.19,5551.5,1.2126
6/30/2021,0.0341,1771.6,0.0226,71.378,-0.17,7015,1.2219
7/31/2021,0.0341,1817.2,0.0155,72.485,-0.15,6318.9,1.2529
8/31/2021,0.0341,1818.1,0.0109,67.73,-0.16,7747.4,1.2603
9/30/2021,0.0037,1757,0.0098,71.646,-0.17,8021.5,1.2671
10/31/2021,0.0037,1783.9,0.0157,81.477,-0.17,7961.3,1.2437
11/30/2021,0.0037,1776.5,0.0215,79.148,-0.17,9923.7,1.257
12/31/2021,0.0168,1828.6,0.0236,71.712,-0.17,7547.3,1.2794
1/31/2022,0.0168,1796.4,0.0244,83.222,-0.17,9640.1,1.2616
2/28/2022,0.0168,1900.7,0.0226,91.641,-0.17,10511.8,1.2716
3/31/2022,0.0072,1951.1,0.0188,108.503,-0.278,12522.3,1.2658
4/30/2022,0.0072,1891.3,0.0146,101.778,-0.456,12071.7,1.2628
5/31/2022,0.0072,1845.2,0.008,109.552,-0.23,13162.3,1.2852
6/30/2022,0.0128,1807.3,0.0087,114.837,-0.267,11726.3,1.2814
7/31/2022,0.0128,1754.4,0.0086,101.619,-0.391,9789.4,1.2942
8/31/2022,0.0128,1716.9,0.012,93.665,-0.17,8419.6,1.2922
9/30/2022,0.0103,1663.6,0.0135,84.258,-0.511,8482.4,1.3319
10/31/2022,0.0103,1640.7,0.0088,87.555,-0.241,7330.1,1.37
11/30/2022,0.0103,1753.2,0.0034,84.37,0.03,6837.9,1.3449
12/31/2022,0.0159,1826,0.0009,76.437,-0.031,7601.3,1.3592
1/31/2023,0.0159,1936.6,0.0042,78.123,0.032,8274.6,1.3422
2/28/2023,0.0159,1836.7,0.0071,76.833,0.07,8116.6,1.345
3/31/2023,0.0062,1988.5,0.0063,73.278,0.15,8310.9,1.3682
4/30/2023,0.0062,1999,0.0054,79.446,0.33,9767.5,1.3485
5/31/2023,0.0062,1973.1,0.0077,71.578,0.56,8108.6,1.352
6/30/2023,0.0099,1917.9,0.0025,70.248,0.387,6270.8,1.3288
7/31/2023,0.0099,1979.6,0.0001,76.07,0.215,8004.2,1.3215
8/31/2023,0.0099,1947,-0.0028,81.386,0.33,10530.3,1.3485
9/30/2023,0.0193,1869.5,-0.001,89.425,0.33,10835.5,1.3535
10/31/2023,0.0193,1994.3,0.0013,85.64,0.33,11331,1.3717
11/30/2023,0.0193,2047.6,0.0002,77.685,0.33,10718.8,1.3709
12/31/2023,0.012,2083.5,-0.0007,71.9,0.33,7348.5,1.3431
1/31/2024,0.012,2057.4,0.0025,74.152,0.33,7349,1.3425
2/29/2024,0.012,2054.7,0.0038,77.249,0.33,8493,1.3501
3/31/2024,0.0027,2201.4,0.0057,81.278,0.33,7899.3,1.3539
4/30/2024,0.0027,2302.9,0.0067,85.347,0.33,7934.1,1.3674
