Date,Price
1/31/2017,"1,211.40"
2/28/2017,"1,253.90"
3/31/2017,"1,251.20"
4/30/2017,"1,268.30"
5/31/2017,"1,270.10"
6/30/2017,"1,242.30"
7/31/2017,"1,279.40"
8/31/2017,"1,330.40"
9/30/2017,"1,284.80"
10/31/2017,"1,277.30"
11/30/2017,"1,282.30"
12/31/2017,"1,309.30"
1/31/2018,"1,347.90"
2/28/2018,"1,305.20"
3/31/2018,"1,327.30"
4/30/2018,"1,306.80"
5/31/2018,"1,299.30"
6/30/2018,"1,254.50"
7/31/2018,"1,227.60"
8/31/2018,"1,206.70"
9/30/2018,"1,196.20"
10/31/2018,"1,238.60"
11/30/2018,"1,226.00"
12/31/2018,"1,283.00"
1/31/2019,"1,322.10"
2/28/2019,"1,299.20"
3/31/2019,"1,298.50"
4/30/2019,"1,284.20"
5/31/2019,"1,311.10"
6/30/2019,"1,413.70"
7/31/2019,"1,432.40"
8/31/2019,"1,529.40"
9/30/2019,"1,489.00"
10/31/2019,"1,511.40"
11/30/2019,"1,472.70"
12/31/2019,"1,523.10"
1/31/2020,"1,552.40"
2/29/2020,"1,566.70"
3/31/2020,"1,596.60"
4/30/2020,"1,694.20"
5/31/2020,"1,751.70"
6/30/2020,"1,800.50"
7/31/2020,"1,985.90"
8/31/2020,"1,978.60"
9/30/2020,"1,895.50"
10/31/2020,"1,879.90"
11/30/2020,"1,780.90"
12/31/2020,"1,895.10"
1/31/2021,"1,850.30"
2/28/2021,"1,728.80"
3/31/2021,"1,715.60"
4/30/2021,"1,767.70"
5/31/2021,"1,905.30"
6/30/2021,"1,771.60"
7/31/2021,"1,817.20"
8/31/2021,"1,818.10"
9/30/2021,"1,757.00"
10/31/2021,"1,783.90"
11/30/2021,"1,776.50"
12/31/2021,"1,828.60"
1/31/2022,"1,796.40"
2/28/2022,"1,900.70"
3/31/2022,"1,951.10"
4/30/2022,"1,891.30"
5/31/2022,"1,845.20"
6/30/2022,"1,807.30"
7/31/2022,"1,754.40"
8/31/2022,"1,716.90"
9/30/2022,"1,663.60"
10/31/2022,"1,640.70"
11/30/2022,"1,753.20"
12/31/2022,"1,826.00"
1/31/2023,"1,936.60"
2/28/2023,"1,836.70"
3/31/2023,"1,988.50"
4/30/2023,"1,999.00"
5/31/2023,"1,973.10"
6/30/2023,"1,917.90"
7/31/2023,"1,979.60"
8/31/2023,"1,947.00"
9/30/2023,"1,869.50"
10/31/2023,"1,994.30"
11/30/2023,"2,047.60"
12/31/2023,"2,083.50"
1/31/2024,"2,057.40"
2/29/2024,"2,054.70"
3/31/2024,"2,201.40"
4/30/2024,"2,302.90"
5/31/2024,"2,354.70"
6/30/2024,"2,336.60"
7/31/2024,"2,438.50"
8/31/2024,"2,536.70"
9/30/2024,"2,647.90"
10/31/2024,"2,749.30"
11/30/2024,"2,652.30"
12/31/2024,"2,618.10"
1/31/2025,"2,845.20"
2/28/2025,"2,895.90"
3/31/2025,"3,150.30"
4/30/2025,"3,319.10"
5/31/2025,"3,343.90"
6/30/2025,"3,307.70"
7/31/2025,"3,348.60"
8/31/2025,"3,512.00"
9/30/2025,"3,873.20"
10/31/2025,"4,013.30"
11/30/2025,"4,254.90"
12/31/2025,"4,357.10"
1/31/2026,"4,745.10"
2/28/2026,"5,011.94"
