Date,USD Per Barrel
1/31/2017,52.504
2/28/2017,53.468
3/31/2017,49.328
4/30/2017,51.061
5/31/2017,48.476
6/30/2017,45.178
7/31/2017,46.631
8/31/2017,48.037
9/30/2017,49.822
10/31/2017,51.578
11/30/2017,56.639
12/31/2017,57.882
1/31/2018,63.699
2/28/2018,62.229
3/31/2018,62.725
4/30/2018,66.254
5/31/2018,69.978
6/30/2018,67.873
7/31/2018,70.981
8/31/2018,68.056
9/30/2018,70.232
10/31/2018,70.749
11/30/2018,56.964
12/31/2018,49.523
1/31/2019,51.376
2/28/2019,54.955
3/31/2019,58.151
4/30/2019,63.862
5/31/2019,60.827
6/30/2019,54.658
7/31/2019,57.358
8/31/2019,54.806
9/30/2019,56.947
10/31/2019,53.963
11/30/2019,57.049
12/31/2019,59.817
1/31/2020,57.519
2/29/2020,50.543
3/31/2020,29.208
4/30/2020,16.548
5/31/2020,28.563
6/30/2020,38.307
7/31/2020,40.71
8/31/2020,42.339
9/30/2020,39.634
10/31/2020,39.396
11/30/2020,40.937
12/31/2020,47.025
1/31/2021,52.008
2/28/2021,59.046
3/31/2021,62.333
4/30/2021,61.717
5/31/2021,65.17
6/30/2021,71.378
7/31/2021,72.485
8/31/2021,67.73
9/30/2021,71.646
10/31/2021,81.477
11/30/2021,79.148
12/31/2021,71.712
1/31/2022,83.222
2/28/2022,91.641
3/31/2022,108.503
4/30/2022,101.778
5/31/2022,109.552
6/30/2022,114.837
7/31/2022,101.619
8/31/2022,93.665
9/30/2022,84.258
10/31/2022,87.555
11/30/2022,84.37
12/31/2022,76.437
1/31/2023,78.123
2/28/2023,76.833
3/31/2023,73.278
4/30/2023,79.446
5/31/2023,71.578
6/30/2023,70.248
7/31/2023,76.07
8/31/2023,81.386
9/30/2023,89.425
10/31/2023,85.64
11/30/2023,77.685
12/31/2023,71.9
1/31/2024,74.152
2/29/2024,77.249
3/31/2024,81.278
4/30/2024,85.347
5/31/2024,80.025
6/30/2024,79.767
7/31/2024,81.8
8/31/2024,76.683
9/30/2024,70.236
10/31/2024,71.985
11/30/2024,69.95
12/31/2024,70.118
1/31/2025,75.743
2/28/2025,71.533
3/31/2025,68.239
4/30/2025,63.537
5/31/2025,62.168
6/30/2025,68.169
7/31/2025,68.391
8/31/2025,64.864
9/30/2025,63.959
10/31/2025,60.895
11/30/2025,60.062
12/31/2025,57.972
1/31/2026,59.168
