Date,Policy_rate_difference
1/31/2017,0.15
2/28/2017,0.16
3/31/2017,0.29
4/30/2017,0.4
5/31/2017,0.41
6/30/2017,0.54
7/31/2017,0.483
8/31/2017,0.41
9/30/2017,0.186
10/31/2017,0.15
11/30/2017,0.16
12/31/2017,0.3
1/31/2018,0.29
2/28/2018,0.17
3/31/2018,0.26
4/30/2018,0.44
5/31/2018,0.45
6/30/2018,0.57
7/31/2018,0.49
8/31/2018,0.41
9/30/2018,0.45
10/31/2018,0.625
11/30/2018,0.45
12/31/2018,0.52
1/31/2019,0.65
2/28/2019,0.65
3/31/2019,0.66
4/30/2019,0.67
5/31/2019,0.64
6/30/2019,0.63
7/31/2019,0.65
8/31/2019,0.38
9/30/2019,0.29
10/31/2019,0.08
11/30/2019,-0.2
12/31/2019,-0.2
1/31/2020,-0.2
2/29/2020,-0.17
3/31/2020,-0.305
4/30/2020,-0.2
5/31/2020,-0.2
6/30/2020,-0.17
7/31/2020,-0.16
8/31/2020,-0.15
9/30/2020,-0.16
10/31/2020,-0.16
11/30/2020,-0.16
12/31/2020,-0.16
1/31/2021,-0.16
2/28/2021,-0.17
3/31/2021,-0.18
4/30/2021,-0.18
5/31/2021,-0.19
6/30/2021,-0.17
7/31/2021,-0.15
8/31/2021,-0.16
9/30/2021,-0.17
10/31/2021,-0.17
11/30/2021,-0.17
12/31/2021,-0.17
1/31/2022,-0.17
2/28/2022,-0.17
3/31/2022,-0.278
4/30/2022,-0.456
5/31/2022,-0.23
6/30/2022,-0.267
7/31/2022,-0.391
8/31/2022,-0.17
9/30/2022,-0.511
10/31/2022,-0.241
11/30/2022,0.03
12/31/2022,-0.031
1/31/2023,0.032
2/28/2023,0.07
3/31/2023,0.15
4/30/2023,0.33
5/31/2023,0.56
6/30/2023,0.387
7/31/2023,0.215
8/31/2023,0.33
9/30/2023,0.33
10/31/2023,0.33
11/30/2023,0.33
12/31/2023,0.33
1/31/2024,0.33
2/29/2024,0.33
3/31/2024,0.33
4/30/2024,0.33
5/31/2024,0.33
6/30/2024,0.543
7/31/2024,0.634
8/31/2024,0.83
9/30/2024,0.844
10/31/2024,0.71
11/30/2024,0.89
12/31/2024,1.048
1/31/2025,1.102
2/28/2025,1.33
3/31/2025,1.485
4/30/2025,1.58
5/31/2025,1.58
6/30/2025,1.58
7/31/2025,1.58
8/31/2025,1.58
9/30/2025,1.572
10/31/2025,1.613
11/30/2025,1.63
12/31/2025,1.47
