Date,Trade_Balance_CAD_Dollars
1/31/2017,"4,323.00"
2/28/2017,"4,707.00"
3/31/2017,"3,248.30"
4/30/2017,"4,579.10"
5/31/2017,"3,227.20"
6/30/2017,"1,742.50"
7/31/2017,"2,833.10"
8/31/2017,"2,733.60"
9/30/2017,"2,177.70"
10/31/2017,"3,317.60"
11/30/2017,"3,332.40"
12/31/2017,"3,115.30"
1/31/2018,"3,427.40"
2/28/2018,"3,231.30"
3/31/2018,"2,318.20"
4/30/2018,"4,257.80"
5/31/2018,"3,658.20"
6/30/2018,"4,737.70"
7/31/2018,"5,672.10"
8/31/2018,"5,260.60"
9/30/2018,"4,563.10"
10/31/2018,"3,887.40"
11/30/2018,"1,105.90"
12/31/2018,616.3
1/31/2019,"2,240.50"
2/28/2019,"3,702.80"
3/31/2019,"4,667.40"
4/30/2019,"4,799.60"
5/31/2019,"5,194.30"
6/30/2019,"4,768.00"
7/31/2019,"4,439.90"
8/31/2019,"4,623.40"
9/30/2019,"4,739.80"
10/31/2019,"4,747.30"
11/30/2019,"4,229.60"
12/31/2019,"5,290.40"
1/31/2020,"2,726.10"
2/29/2020,"2,597.70"
3/31/2020,818.3
4/30/2020,296.4
5/31/2020,"1,244.60"
6/30/2020,"2,195.80"
7/31/2020,"1,842.80"
8/31/2020,"2,832.90"
9/30/2020,"1,776.60"
10/31/2020,"2,841.80"
11/30/2020,"2,720.00"
12/31/2020,"2,600.70"
1/31/2021,"5,749.30"
2/28/2021,"6,807.20"
3/31/2021,"4,025.00"
4/30/2021,"5,563.40"
5/31/2021,"5,551.50"
6/30/2021,"7,015.00"
7/31/2021,"6,318.90"
8/31/2021,"7,747.40"
9/30/2021,"8,021.50"
10/31/2021,"7,961.30"
11/30/2021,"9,923.70"
12/31/2021,"7,547.30"
1/31/2022,"9,640.10"
2/28/2022,"10,511.80"
3/31/2022,"12,522.30"
4/30/2022,"12,071.70"
5/31/2022,"13,162.30"
6/30/2022,"11,726.30"
7/31/2022,"9,789.40"
8/31/2022,"8,419.60"
9/30/2022,"8,482.40"
10/31/2022,"7,330.10"
11/30/2022,"6,837.90"
12/31/2022,"7,601.30"
1/31/2023,"8,274.60"
2/28/2023,"8,116.60"
3/31/2023,"8,310.90"
4/30/2023,"9,767.50"
5/31/2023,"8,108.60"
6/30/2023,"6,270.80"
7/31/2023,"8,004.20"
8/31/2023,"10,530.30"
9/30/2023,"10,835.50"
10/31/2023,"11,331.00"
11/30/2023,"10,718.80"
12/31/2023,"7,348.50"
1/31/2024,"7,349.00"
2/29/2024,"8,493.00"
3/31/2024,"7,899.30"
4/30/2024,"7,934.10"
5/31/2024,"8,781.40"
6/30/2024,"8,048.70"
7/31/2024,"10,278.20"
8/31/2024,"7,535.30"
9/30/2024,"7,889.20"
10/31/2024,"6,744.90"
11/30/2024,"8,364.10"
12/31/2024,"11,944.50"
1/31/2025,"13,886.20"
2/28/2025,"10,660.80"
3/31/2025,"7,020.10"
4/30/2025,"3,363.50"
5/31/2025,"3,391.40"
6/30/2025,"4,042.50"
7/31/2025,"6,961.90"
8/31/2025,"5,735.40"
9/30/2025,"8,400.00"
10/31/2025,"5,233.20"
11/30/2025,"6,580.00"
12/31/2025,"5,432.00"
